,id,name,description,pic_url,total_comics,total_series,total_stories,total_events
1009186,1009186,Black Knight (Sir Percy of Scandia),,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59ed1590a7.jpg,107,58,106,3
1011304,1011304,Thundra,"Thundra was quite possibly her world's greatest female specimens, and as she won countless battles against the men, she was revered as the Sisterhood's greatest hero.",http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce5a61df19e5.jpg,16,11,20,2
1010934,1010934,Invisible Woman (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/b0/4c00342d26fc5.jpg,52,19,70,0
1010983,1010983,Thing (Ultimate),"When the time came for Reed Richards to demonstrate his teleportation device, his old friend Ben Grimm was invited to observe, but the device malfunctioned and Ben woke up in Mexico City, transformed into a rocky, brutish Thing.",http://i.annihil.us/u/prod/marvel/i/mg/f/40/4c0032a542533.jpg,49,19,62,0
1011226,1011226,War Machine (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce5a5647d38b.jpg,3,2,3,1
1011130,1011130,Black Panther (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/6/20/53176a7b3a4e4.jpg,8,4,11,0
1011239,1011239,Valkyrie (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/4/20/53177396dc74f.jpg,9,3,14,0
1010716,1010716,Zarda,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,3,2,0
1010715,1010715,The Hood,,http://i.annihil.us/u/prod/marvel/i/mg/6/90/539a09a2863cf.jpg,40,13,42,3
1011198,1011198,Agents of Atlas,,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg,45,13,52,1
1011048,1011048,Scalphunter,,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4ce5a473b81b3.jpg,26,7,26,2
1010790,1010790,Scorpion (Carmilla Black),"Carmilla Black is a genetically engineered human, created by Advanced Idea Mechanics (A.I.M.).",http://i.annihil.us/u/prod/marvel/i/mg/6/40/4c0037366fae7.jpg,9,3,9,1
1010829,1010829,Bengal,,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5269523ee6c03.jpg,9,3,10,3
1009245,1009245,Constrictor,,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4c004065a3a78.jpg,34,11,37,5
1010817,1010817,Rage,,http://i.annihil.us/u/prod/marvel/i/mg/6/20/4c0035e72e3d8.jpg,37,9,43,5
1010774,1010774,Daily Bugle,,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4ce5a31605544.jpg,3,3,4,1
1011387,1011387,Dark X-Men,,http://i.annihil.us/u/prod/marvel/i/mg/9/40/4ce5a7160a79b.jpg,10,3,17,1
1009179,1009179,Beetle (Abner Jenkins),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,19,11,26,2
1009628,1009628,Stingray (Walter Newell),"Creating the Stingray costume, Newell succeeded in capturing the Sub-Mariner, although Namor soon escaped and Newell, while initially defeating him a second time, allowed his friend to go.",http://i.annihil.us/u/prod/marvel/i/mg/5/d0/4c003ac5e5195.jpg,33,15,35,2
1009672,1009672,Titanium Man (Topolov),,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/528d368ab3f46.jpg,29,14,39,2
1009302,1009302,Fenris,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,6,5,5,0
1011369,1011369,Phil Sheldon,,http://i.annihil.us/u/prod/marvel/i/mg/9/80/4ce5a6f45075d.jpg,8,3,14,0
1009645,1009645,Glenn Talbot,"Major Glenn Talbot was member of United States Air Force, United States Army and Hulkbusters.",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,7,3,11,0
1011045,1011045,Photon,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,31,11,34,0
1011243,1011243,Mandrill,,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002efee8164.jpg,1,1,1,1
1011038,1011038,Bug,,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c00323e50dda.jpg,3,3,6,1
1009497,1009497,Alexander Pierce,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,1,1,0
1009594,1009594,Silvermane,Silvio Manfredi has been a career criminal for most of his life.,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c003c0fc6a28.jpg,18,11,16,1
1009272,1009272,Detective Soap,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,1,3,0
1011044,1011044,Hellions (Squad),,http://i.annihil.us/u/prod/marvel/i/mg/5/10/4c00323303deb.jpg,8,5,11,0
1011301,1011301,Anole,,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e635ddd9.jpg,5,4,5,0
1009285,1009285,Dust,,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/4c003f17db9a6.jpg,21,10,22,0
1011260,1011260,Dexter Bennett,,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce5a5d5d8932.jpg,3,1,4,0
1009411,1009411,Mad Thinker,,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/52740faf0d0fb.jpg,34,21,34,0
1010998,1010998,The Initiative,,http://i.annihil.us/u/prod/marvel/i/mg/9/90/52740ddd98c4b.jpg,18,2,24,2
1011279,1011279,Masters of Evil,,http://i.annihil.us/u/prod/marvel/i/mg/9/30/4c002e75e67db.jpg,24,8,23,0
1010822,1010822,Trauma,Terrance Ward was drafted into the Initiative training program because of his telepathic and shape-shifting abilities.,http://i.annihil.us/u/prod/marvel/i/mg/a/00/528d367cdee38.jpg,19,2,25,4
1009374,1009374,Jigsaw,,http://i.annihil.us/u/prod/marvel/i/mg/6/30/4ce188192a0b6.jpg,21,8,22,0
1011061,1011061,Eternity,,http://i.annihil.us/u/prod/marvel/i/mg/b/90/4c0030fff0e3d.jpg,20,13,23,1
1011041,1011041,Great Lakes Avengers,,http://i.annihil.us/u/prod/marvel/i/mg/f/70/4c0032387d022.jpg,12,4,13,0
1011347,1011347,Spider-Ham (Larval Earth),"As Spider-Ham Peter faced such nefarious foes as Ductor Doom, Bull-Frog, Raven the Hunter, Hogzilla, the Buzzard and the King-Pig!",http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,53,21,54,0
1011202,1011202,Ord,,http://i.annihil.us/u/prod/marvel/i/mg/6/40/4c002f1c476f9.jpg,11,5,9,0
1009565,1009565,Scourge,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,8,5,9,0
1010847,1010847,Ultragirl (Earth-93060),,http://i.annihil.us/u/prod/marvel/i/mg/4/30/5269579e423ed.jpg,1,1,1,0
